Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,15,5,12,14,2,4,6,9,3,7,10,8,11,13,513.450645177531
3,1,15,5,12,9,2,4,6,14,3,7,10,8,11,13,483.4613431645725
8,1,15,5,2,9,12,4,6,14,3,7,10,8,11,13,472.82857063044474
13,13,15,5,12,9,2,4,6,14,3,7,10,8,11,1,447.57784683379754
14,1,2,5,15,9,12,4,6,14,3,7,10,8,11,13,443.7264993188308
15,13,15,5,2,9,12,4,6,14,3,7,10,8,11,1,436.94507429966984
16,13,15,5,2,10,12,4,6,14,3,7,9,8,11,1,429.4040256800735
26,13,15,5,9,10,12,4,6,14,3,7,2,8,11,1,416.90156790102134
32,13,15,5,9,10,12,8,6,14,3,7,2,4,11,1,413.6136918948425
33,13,15,5,9,10,14,4,6,12,3,7,2,8,11,1,408.9510761364781
35,13,15,5,9,10,12,14,6,8,3,7,2,4,11,1,404.01672337387913
48,13,15,5,9,3,12,14,6,8,10,7,2,4,11,1,394.82669030849445
52,13,15,5,7,3,12,14,6,8,10,9,2,4,11,1,357.42261470546924
