Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,8,12,10,7,5,2,13,1,14,3,15,11,6,4,537.6636514558904
2,2,15,1,9,7,10,13,4,11,8,5,3,12,14,6,519.9292760320684
4,9,3,12,10,7,5,2,13,1,14,8,15,11,6,4,519.4884813648254
5,9,3,12,10,7,5,2,13,1,8,14,15,11,6,4,512.2544301975568
7,2,11,1,9,7,10,13,4,8,15,5,3,12,14,6,504.3840749916433
9,7,3,12,10,9,5,2,13,1,8,14,15,11,6,4,500.04959609532466
10,2,13,1,9,7,10,11,4,8,15,5,3,12,14,6,447.5309260346306
15,7,3,12,14,9,5,2,13,1,8,10,4,11,6,15,443.57930793349607
19,7,3,12,14,9,5,2,13,6,8,10,4,11,1,15,435.0464886837649
23,7,3,12,14,9,5,2,13,1,8,6,4,11,10,15,420.1832630688755
28,7,3,12,14,9,5,2,13,1,11,6,4,8,10,15,390.0151317199491
34,7,3,12,14,9,5,15,13,1,11,6,4,8,10,2,387.76891488900094
42,7,3,12,14,9,5,15,13,1,11,4,6,8,10,2,368.2417032679087
47,7,3,12,14,9,2,15,13,1,11,4,6,8,10,5,362.98999915132043
50,7,3,12,14,10,2,15,13,1,11,4,6,8,9,5,334.8807723384861
80,7,3,12,14,10,15,2,13,1,11,4,6,8,9,5,328.8163428276753
98,7,3,12,14,10,8,2,13,1,11,4,6,15,9,5,323.56272367899646
133,7,3,12,14,10,8,2,13,1,11,4,6,9,15,5,321.5849138022096
