Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,5,11,4,9,7,13,15,1,2,6,14,12,3,8,541.8645880986776
1,15,9,8,4,14,10,6,11,13,7,3,12,5,1,2,513.4301838538528
4,10,5,11,2,9,7,13,15,1,4,6,14,12,3,8,510.67459037885004
6,13,15,5,12,3,7,9,1,2,14,6,10,8,4,11,467.96063705566576
8,10,13,11,2,9,7,5,15,1,4,6,14,12,3,8,437.7423518857049
10,10,2,11,13,9,7,5,15,1,4,6,14,12,3,8,433.5030338302369
17,10,2,1,13,9,7,5,15,11,4,6,14,12,3,8,392.88817985211074
90,8,2,1,13,9,7,5,15,11,4,6,14,12,3,10,370.49028579247164
118,8,11,1,13,9,7,5,15,2,4,6,14,12,3,10,368.5658257151395
145,4,11,1,13,9,7,5,15,2,8,6,14,12,3,10,365.48913662949485
156,4,11,1,13,9,7,5,15,2,8,10,14,12,3,6,350.02086331756897
260,4,11,1,13,9,7,5,15,2,8,10,3,12,14,6,329.7125518692095
