Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,7,3,15,5,8,11,4,1,6,9,2,13,10,12,509.77755650226317
5,6,14,10,7,3,5,15,2,1,13,8,12,9,4,11,470.8682312896817
10,6,14,10,7,3,5,15,2,1,13,8,9,12,4,11,459.63790104837676
15,6,14,10,3,7,5,15,2,1,13,8,9,12,4,11,434.9942360271447
28,6,14,10,3,7,5,15,2,1,13,9,8,12,4,11,418.2146354661234
35,6,14,10,3,7,5,9,2,1,13,15,8,12,4,11,416.41396756557253
36,6,14,10,3,7,5,15,9,1,13,2,8,12,4,11,402.13514898295705
43,6,14,10,3,7,5,15,9,2,13,1,8,12,4,11,393.20137526487645
45,6,14,12,3,7,5,15,9,1,13,2,8,10,4,11,354.6541642924561
61,6,14,12,3,7,5,15,9,1,13,2,10,8,4,11,350.9939386464351
63,6,14,12,3,7,5,9,15,1,13,2,8,10,4,11,346.5716036410941
86,10,14,12,3,7,5,9,15,1,13,2,8,6,4,11,339.95548998485293
94,10,14,12,3,7,5,9,15,2,13,1,8,6,4,11,334.07620583249667
114,10,14,12,3,7,5,9,15,2,13,1,11,6,4,8,303.9080744835703
143,10,14,12,3,7,5,9,15,2,13,1,11,4,6,8,284.38086286247807
