Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,3,12,4,11,6,1,13,15,2,8,10,9,5,7,428.3884666971069
11,13,8,6,4,11,1,9,15,12,14,3,10,7,5,2,411.231459226486
16,13,8,6,4,11,1,9,15,12,14,10,3,7,5,2,395.3490842192917
25,13,8,6,4,11,1,9,15,10,14,12,3,7,5,2,368.77341212137947
47,13,8,6,4,11,1,9,2,10,14,12,3,7,5,15,368.2082024597132
52,13,8,6,4,11,1,15,9,10,14,12,3,7,5,2,355.26625331335794
63,13,8,6,4,11,1,2,15,10,14,12,3,7,5,9,353.5643428703051
78,2,8,6,4,11,1,13,15,10,14,12,3,7,5,9,334.06023393783113
84,15,8,6,4,11,1,2,13,10,14,12,3,7,5,9,333.5175827107596
103,15,8,6,4,11,1,13,2,10,14,12,3,7,5,9,316.96390423538793
154,9,8,6,4,11,1,13,2,10,14,12,3,7,5,15,315.03410683784193
