Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,12,2,15,11,6,7,5,9,3,10,8,13,1,4,507.3180360698953
2,12,10,13,5,7,3,15,9,8,2,11,6,1,4,14,493.5031907754702
6,12,10,8,5,7,3,15,9,13,2,11,6,1,4,14,457.7498639613036
9,4,11,1,8,9,15,5,7,10,14,12,2,13,3,6,438.8543795764671
20,4,11,1,8,9,15,5,7,3,14,12,2,13,10,6,391.29249628304404
28,4,11,1,2,9,15,5,7,3,14,12,8,13,10,6,371.9162474204794
32,4,11,1,13,9,15,5,7,3,14,12,10,8,2,6,336.5788245040533
36,4,11,1,13,15,9,5,7,3,14,12,10,8,2,6,327.8202881203187
45,4,11,1,13,15,9,5,7,3,14,12,10,2,8,6,323.3745668534243
72,4,11,1,13,15,9,5,7,3,12,14,10,2,8,6,315.2499268623601
