Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,10,12,14,3,7,15,9,8,2,5,13,6,4,11,439.84099054295825
6,1,10,12,14,3,7,15,13,8,2,5,9,6,4,11,430.8276992536126
12,1,10,12,14,3,7,15,5,8,2,13,9,6,4,11,427.69746329730054
16,8,10,12,14,3,7,15,5,1,2,13,9,6,4,11,417.4398895997212
21,8,10,12,14,3,7,15,13,1,2,5,9,6,4,11,394.6802640117591
49,8,10,14,12,3,7,15,13,1,2,5,9,6,4,11,386.55562402069484
51,8,10,12,14,3,7,5,13,1,2,15,9,6,4,11,376.37694130144973
69,8,10,14,12,3,7,5,13,1,2,15,9,6,4,11,368.2523013103855
102,8,10,14,12,3,7,5,2,1,13,15,9,6,4,11,367.0624892688895
104,8,10,14,12,3,7,5,13,1,2,15,9,11,4,6,361.367898974433
111,8,10,14,12,3,7,5,2,1,13,15,9,11,4,6,360.178086932937
151,8,10,14,12,3,7,5,15,1,13,2,9,11,4,6,357.7757824857921
157,8,10,14,12,3,7,5,9,1,13,2,15,11,4,6,357.3151576630784
158,8,10,14,12,3,7,5,15,1,13,9,2,11,4,6,355.0504930617479
165,8,10,14,12,3,7,5,9,1,13,15,2,11,4,6,349.34644624373766
166,8,10,14,12,3,7,5,15,2,13,9,1,11,4,6,333.87985524535753
168,8,10,14,12,3,7,5,9,15,13,1,2,11,4,6,317.1898853663993
177,8,10,14,12,3,7,5,9,15,13,2,1,11,4,6,292.96475798428474
211,8,10,14,12,3,7,5,9,15,2,13,1,11,4,6,284.380862862478
