Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,6,4,11,10,12,14,1,13,15,7,9,5,2,3,472.60478589292256
5,8,6,4,11,10,12,14,1,13,15,7,3,5,2,9,455.1093782433919
6,8,6,4,11,10,12,14,3,13,15,7,9,5,2,1,446.1012139166477
10,8,6,4,11,10,12,14,3,13,15,9,7,5,2,1,426.60807916484225
15,8,6,4,11,10,12,14,3,15,5,7,9,13,2,1,400.2693236756795
27,8,6,4,11,10,12,14,3,7,5,15,9,13,2,1,359.5432773291021
37,8,6,4,11,10,12,14,3,7,5,9,15,13,2,1,350.7847409453676
40,11,6,4,8,10,12,14,3,7,5,15,9,13,2,1,329.3751459801757
46,11,6,4,8,10,12,14,3,7,5,9,15,13,2,1,320.6166095964412
47,11,4,6,8,10,12,14,3,7,5,9,15,13,2,1,301.08939797534896
