Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,6,11,10,3,15,9,13,1,4,14,12,7,5,2,471.5034522037404
6,8,4,11,10,3,15,9,13,1,6,14,12,7,5,2,459.48277967710504
12,8,6,4,10,2,15,9,13,1,11,14,12,7,5,3,439.2297900367973
13,8,6,4,10,2,15,9,13,1,11,14,12,5,7,3,437.3584794883154
14,8,6,4,11,2,15,9,13,1,10,14,12,5,7,3,415.77496744794564
22,10,6,4,11,2,15,9,13,1,8,14,12,5,7,3,403.82614217368985
23,8,6,4,11,1,15,9,13,2,10,14,12,5,7,3,392.2992474756479
26,8,6,4,11,2,15,9,13,1,10,14,12,3,7,5,387.1007649968139
33,8,6,4,11,1,15,9,13,2,10,14,12,3,7,5,363.6250450245162
45,8,6,4,11,1,9,15,13,2,10,14,12,3,7,5,362.94906929214363
60,8,6,4,11,1,13,15,9,2,10,14,12,3,7,5,347.08334987928043
66,8,6,4,11,1,13,2,9,15,10,14,12,3,7,5,341.01892036846965
82,8,6,4,11,1,13,2,15,9,10,14,12,3,7,5,330.56625112617246
