Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,13,12,14,3,5,9,7,6,10,15,2,4,8,11,504.5948773111067
6,1,13,7,14,3,5,9,12,8,10,15,2,4,6,11,487.6371059807211
14,1,13,7,3,14,5,9,12,8,10,15,2,4,6,11,484.46774119738166
16,1,13,7,8,3,5,9,12,14,10,15,2,4,6,11,482.5785170634879
17,1,13,9,3,14,5,7,12,8,10,15,2,4,6,11,473.9796777386468
18,1,13,7,12,3,5,9,14,8,10,15,2,4,6,11,471.73378848714907
19,1,13,7,3,15,5,9,10,8,12,14,2,4,6,11,450.2355064856281
22,1,13,7,3,9,5,12,14,8,10,15,2,4,6,11,449.45364446108465
24,1,13,3,7,9,5,12,14,8,10,15,2,4,6,11,444.95223306233373
30,1,13,3,7,9,5,12,14,8,10,15,2,6,4,11,430.7974180171704
35,1,13,3,7,9,5,12,14,10,8,15,2,6,4,11,422.961858828517
45,1,15,3,7,9,5,12,14,10,8,13,2,6,4,11,417.809278200416
55,1,15,3,7,5,9,12,14,10,8,13,2,6,4,11,405.83115932873386
85,1,15,9,7,5,3,12,14,10,8,13,2,6,4,11,365.0227164290041
95,1,15,9,5,7,3,12,14,10,8,13,2,6,4,11,339.6966264889638
122,1,15,9,5,7,3,12,14,10,8,2,13,6,4,11,337.967481176172
136,1,15,9,5,7,3,12,14,10,13,2,8,6,4,11,336.0309400630639
165,1,15,9,5,7,3,12,14,10,2,13,8,6,4,11,335.2509052220694
