Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,3,8,2,9,5,12,10,7,13,15,1,4,11,6,495.6546907592648
3,14,3,8,2,9,13,12,10,7,5,15,1,4,11,6,479.7882483664225
4,14,3,7,2,9,5,12,10,8,13,15,1,4,11,6,460.84976524695
8,14,10,8,2,9,13,12,3,7,5,15,1,4,11,6,435.1238922733419
11,14,10,8,2,13,9,12,3,7,5,15,1,4,11,6,407.0125975470713
17,14,10,8,2,13,9,12,3,7,5,15,1,11,4,6,371.99728776103444
24,14,10,8,2,15,9,12,3,7,5,13,1,11,4,6,363.2750438297718
37,14,12,8,2,15,9,10,3,7,5,13,1,11,4,6,360.2416721785046
