Generation,Max_Fitness,Ave_Fitness,Min_Fitness
0,0,507.8843660243751,657.388176538893,764.6940706475663
1,1,652.6348859393697,663.1758778085366,677.2699978870652
2,2,656.2653462909155,665.6329109247794,677.2699978870652
3,3,652.3437432748349,667.8230529787857,677.2699978870652
4,4,646.8509933245576,675.1740342497262,694.135364308763
5,5,616.7386315348227,664.7905094755231,703.7386444925928
6,6,614.5618047756641,679.0447542344693,737.3786193556787
7,7,668.2001028137581,699.9347056086104,737.3786193556787
8,8,677.2699978870652,706.917791082549,745.1220056949479
9,9,688.9055522791095,713.9164244513211,745.1220056949479
10,10,688.9055522791095,741.0600279420531,773.3870628836115
11,11,701.9954713035788,740.8240914959346,773.3870628836116
12,12,666.6025807324875,727.6105036721708,773.3870628836116
13,13,744.0137522979028,758.0811047343801,773.3870628836116
14,14,718.3440250232104,757.5687075185979,804.2385250197923
15,15,727.3891212225483,768.5773150906782,804.2385250197923
16,16,720.6951720507769,769.6441200588629,804.2385250197923
17,17,720.4720062005828,768.9743439742418,804.2385250197923
18,18,773.3870628836115,791.8979401653199,804.2385250197923
19,19,741.5896610978766,787.5673938888206,804.2385250197923
20,20,716.2487577304615,790.2065334842766,839.0315682132044
21,21,716.2487577304615,765.9431929772447,806.4571893895774
22,22,716.2487577304615,790.2400597876391,816.9380700331262
23,23,736.2382538762197,789.9790810541084,816.9380700331262
24,24,797.6646665347434,808.668257943943,831.5466792038756
25,25,797.6646665347436,815.3197275483546,831.5466792038756
26,26,777.8542400763658,817.3865250742958,831.5466792038756
27,27,808.8924094403785,831.0517068293757,856.6281005623806
28,28,831.5466792038756,850.5973231456512,875.0460480523287
29,29,790.6565623775895,827.362575417267,856.6281005623805
30,30,816.1042873480893,838.9284857771088,856.6281005623805
31,31,819.3428019855028,844.5924729762926,856.6281005623805
32,32,770.0262590434124,839.3077322585868,856.6281005623805
33,33,762.9470110893109,825.8677227292523,856.6281005623805
34,34,787.9568776715117,816.1465599262183,856.6281005623805
35,35,755.8005282891663,800.6971860442093,838.1767166168553
36,36,789.3558887296919,819.3177678827226,838.1767166168553
37,37,767.3370863455132,814.4283690219861,838.1767166168553
38,38,739.4545649385092,800.0657495384191,826.527947352297
39,39,716.1031305502639,797.3230248241368,826.527947352297
40,40,798.9330525088607,825.5406497867034,857.7642541029652
41,41,770.825807536849,815.0569307942245,826.527947352297
42,42,784.3117566608212,818.3834340815163,828.0215716898689
43,43,826.527947352297,826.8266722198114,828.0215716898689
44,44,775.7271780320574,818.2255285637594,833.5761862234907
45,45,826.527947352297,828.1289458419596,833.5761862234907
46,46,711.1392769701096,810.1309788842325,852.8929279583191
47,47,771.1752222950298,807.0897704546807,830.5795461129965
48,48,742.1528915036712,805.8418068675785,859.8377771594528
49,49,794.0305007722836,820.8286352313686,859.8377771594528
50,50,828.0215716898689,853.4790074411194,859.8601340373692
51,51,772.3953388995467,829.9334381053459,859.8601340373692
52,52,710.6235868770858,814.7819302621531,859.8377771594528
53,53,823.5841403305373,851.6690741732712,877.1670351314104
54,54,791.0405652324587,836.1012043143404,877.1670351314106
55,55,724.3536656402347,809.5426181724321,877.1670351314106
56,56,780.5163989230437,829.754422470842,862.7791162415688
57,57,803.5389980613967,839.6125213508743,862.7791162415688
58,58,788.049888869674,817.2853290737946,847.9809689144552
59,59,780.4790856187515,806.3424909922629,820.9680158595729
60,60,718.5316127735692,770.327031628766,820.9680158595729
61,61,748.5870472112033,796.1355028446045,820.9680158595729
62,62,782.4774614014525,810.524228779258,822.9309015351963
63,63,764.4853840045707,809.6714894885724,820.9680158595729
64,64,776.3511663030143,812.0446459482612,820.9680158595729
65,65,760.4268374900062,810.2236250808811,827.7872403356808
66,66,820.9680158595728,828.5650327452989,848.7242635740414
67,67,712.8738712633576,818.8804758539785,859.7023527608254
68,68,823.2034872301889,844.933915624211,855.2933001687418
69,69,848.7242635740414,850.0519969426234,855.2933001687418
70,70,783.6847992026284,828.8162719366953,855.2933001687418
71,71,784.008362782174,830.7392500915519,855.2933001687418
72,72,784.008362782174,817.3945903816211,838.4310339912514
73,73,802.7595871207034,827.0079488499108,838.4310339912515
74,74,832.7982903489916,836.7412108985736,838.4310339912515
75,75,820.2102347979506,833.4385108369197,838.4310339912515
76,76,780.295158691726,824.2963668911789,839.3772069471312
77,77,758.1086036771629,812.8773585586916,839.3772069471312
78,78,783.2194414518814,826.9707195321027,839.3772069471312
79,79,787.5250531415646,828.4172156097771,838.7657895681774
80,80,748.3916250663344,816.7717158224294,838.7657895681774
81,81,819.3369631297427,830.9607834351111,838.7657895681774
82,82,773.1876946608788,809.3433981282174,838.7657895681774
83,83,785.8762456066197,823.9291790095929,838.7657895681774
84,84,739.1461534764643,792.6916407541471,838.7657895681774
85,85,737.5355041670981,788.7222290366574,827.1866939560294
86,86,759.8458827338113,779.5819472505045,827.1866939560293
87,87,679.9396716925206,732.5263470790806,827.1866939560293
88,88,697.3895131693865,768.7585001647815,827.1866939560293
89,89,726.9383584415883,768.362646962719,807.8741834751755
90,90,692.8133797590126,763.7358558513346,807.8741834751755
91,91,732.8558796206573,760.5273832387732,808.5291575707959
92,92,644.9922437450307,740.5560662239843,808.5291575707959
93,93,741.6626180966197,752.9512489067175,792.1797585836185
94,94,707.2870118596016,757.4170579608578,792.1797585836185
95,95,716.3700294417672,768.2226389523921,828.3952669181791
96,96,713.461107410306,762.5246790367191,805.1402618080867
97,97,757.5792019018903,770.4037567918929,783.2283116818955
98,98,728.8067291400074,771.1368594846776,790.0171881276971
99,99,710.049018356342,765.8055652907208,790.5723504985771
100,100,744.2536676142612,777.2695918795947,790.5723504985771
101,101,725.3673025531848,765.1276406211434,790.5723504985771
102,102,750.4307928669531,786.0865982836747,811.9571664640299
103,103,667.9689879964112,766.051677998144,790.5723504985771
104,104,748.3304012213192,777.0463683158794,790.5723504985771
105,105,668.3541693176193,738.6398992380133,790.5723504985771
106,106,751.6365767677137,779.7424590253224,791.6476178396562
107,107,742.0994705411839,780.933649068116,791.6476178396562
108,108,654.6616010262421,755.6851573967731,794.4064891549036
109,109,728.6996448466767,769.6775352730749,794.4064891549036
110,110,770.4772654394368,789.7597766603599,794.4064891549036
111,111,732.0571493005743,774.2749812055146,818.9366116108216
112,112,755.5584222238963,786.2788644818655,819.9223565260514
113,113,723.0190987058008,777.0410249692195,790.5723504985771
114,114,738.3204637280427,780.1116355590691,790.5723504985771
115,115,782.0933404781395,788.8765484944896,790.5723504985771
116,116,743.6338271008331,772.6243999694769,790.5723504985771
117,117,750.4307928669532,784.4768321461349,832.0224022797141
118,118,732.0664795425795,771.443025601234,832.0224022797141
119,119,709.8994482505263,746.9238308713632,796.7788573476394
120,120,719.4758066500202,763.5404877661551,796.7788573476394
121,121,741.0362891519542,769.2242623736333,814.2547304700789
122,122,746.1641900152092,793.1713505718837,814.2547304700789
123,123,722.497189220032,772.8511252558452,814.2547304700789
124,124,672.1087318145328,755.9068788156742,814.2547304700789
125,125,694.2542648692263,756.3002233943441,814.2547304700789
126,126,716.4934059353517,765.3440342982153,814.2547304700789
127,127,652.5946170542545,729.3087517051456,803.6596951536334
128,128,690.8442146089457,729.6071770979438,775.6012730336932
129,129,691.3492688241208,734.5756896077315,775.6012730336932
130,130,635.0010114490337,721.9228106268235,775.6012730336932
131,131,698.7617416644148,753.7712187030248,815.234431252975
132,132,704.7893933837437,744.9104882711905,815.234431252975
133,133,720.9678021320204,752.4325725207009,770.8951463051726
134,134,744.1749559516659,763.298447325911,770.8951463051726
135,135,669.3027310327342,750.576663250685,770.8951463051726
136,136,770.8951463051726,779.5450334397568,800.1227575649672
137,137,709.072115914725,762.9067520606393,800.1227575649672
138,138,741.9464452811659,775.9064805663677,792.4972952371655
139,139,707.3481126778769,769.8620338859739,823.2625973979789
140,140,603.5567289844977,748.8852645389907,823.2625973979789
141,141,753.366006392419,789.7165927620894,823.2625973979789
142,142,770.8951463051725,797.078871851576,823.2625973979789
143,143,716.7239944849256,781.2574326012375,823.2625973979789
144,144,669.6836919544887,771.0151759922708,823.2625973979789
145,145,772.1428274201302,811.3567775797544,826.2065336404232
146,146,703.0265157457404,796.1128532815559,826.2065336404232
147,147,735.1238270400731,791.6375527125081,833.4596836300813
148,148,665.0360309702321,776.9133958679108,833.4596836300813
149,149,720.3853029801847,777.9294646331913,799.8170258052761
150,150,738.8055270722809,775.0673221662507,799.8170258052761
151,151,763.3423725115679,790.1367523517881,834.291946654867
152,152,763.4174186603977,784.5897520346914,799.8170258052761
153,153,785.8392982687367,796.7104454353592,809.7967819493933
154,154,788.2820953481142,801.5019421714907,809.7967819493933
155,155,785.2255727187904,801.4103210430584,812.3951989365562
156,156,742.8340635946911,788.9251499753129,812.3951989365562
157,157,778.977533836612,795.2521139585427,825.7680921851191
158,158,779.3387974081156,811.5603242324056,843.8140993921626
159,159,738.2181442577145,807.0811129611538,843.8140993921626
160,160,786.8467988146709,814.3111638301431,843.8140993921626
161,161,768.7594593432163,819.0406031255644,843.8140993921626
162,162,820.345937689486,834.4018366420944,843.8140993921626
163,163,811.6846298562642,830.5812183598979,843.8140993921626
164,164,802.0702314391762,828.3009396591463,843.8140993921626
165,165,807.8427983063107,830.6256949633229,837.3805292238135
166,166,772.3238482116782,814.6560875327041,837.3805292238135
167,167,749.973984365273,807.2697881609887,837.3805292238135
168,168,734.3399759792667,803.7090502833007,841.5881768099041
169,169,794.201774794791,811.3023884572252,841.5881768099041
170,170,776.7159413154487,815.4879506919744,841.5881768099041
171,171,751.3504043532046,792.5475394279347,841.5881768099041
172,172,751.3504043532046,807.6431465009705,841.5881768099041
173,173,774.0296659223052,795.5547961847993,841.5881768099041
174,174,781.0494270317384,806.8075677708536,821.2886712838026
175,175,813.153014801203,820.1853704529752,823.9078236122651
176,176,792.4404832111773,817.090525066355,823.9078236122651
177,177,764.0461764256493,811.4116637092494,823.9078236122651
178,178,764.0461764256493,811.9354941749418,823.9078236122651
179,179,819.695143633766,823.0652876165653,823.9078236122651
180,180,701.5207549612429,781.3506000751673,823.9078236122651
181,181,779.0134233349625,816.5355717180797,823.9078236122652
182,182,790.1704775809238,817.1603544059968,823.9078236122651
183,183,790.1704775809238,817.1603544059968,823.9078236122651
184,184,772.621769943446,813.6506128785012,823.9078236122651
185,185,725.088763065542,796.0133020078473,828.1486764142018
186,186,779.0134233349623,807.6464046221188,828.1486764142018
187,187,716.1907910279392,792.834244055058,828.1486764142018
188,188,790.2224529453332,811.5320619197887,828.1486764142018
189,189,769.3066208017087,802.3994366876343,828.1486764142018
190,190,729.5305232607504,785.7642966690908,828.1486764142018
191,191,748.6191863994202,791.4712363605422,825.3847620461218
192,192,725.0093632200413,800.583950120039,848.0260933190359
193,193,790.1864736402802,820.8151313755134,845.1942664704875
194,194,746.0269268819197,803.3542203001186,845.1942664704875
195,195,780.4819929551263,822.172276262716,845.1942664704875
196,196,828.9970963459616,828.9970963459616,828.9970963459616
197,197,828.9970963459616,828.9970963459616,828.9970963459616
198,198,828.9970963459616,837.2861587550018,870.4424083911617
199,199,761.8514097259714,809.0976871143781,852.6316920505835
200,200,800.4166142764965,832.1499220576667,852.6316920505835
201,201,828.9970963459616,850.2682324801211,852.6316920505835
202,202,801.9392918182101,842.4932120041087,852.6316920505835
203,203,774.3432447355801,828.5340562393785,858.066977009409
204,204,758.0983755667904,824.7873627263455,852.6316920505834
205,205,765.0194382341795,818.5041861803435,852.6316920505835
206,206,712.0125531307062,795.0455109784517,852.6316920505835
207,207,768.7469670547525,810.5122267688923,839.1385559583687
208,208,781.1538703051203,818.4248952484347,839.1385559583687
209,209,805.2040228728887,819.4824601386384,843.9726593860183
210,210,798.642526943697,809.4830203734867,843.9726593860183
211,211,775.0075515353764,802.2549374162297,843.9726593860183
212,212,762.1020905699295,806.8327643062514,843.9726593860183
213,213,802.1859711684328,823.6902754457527,843.9726593860183
214,214,723.973988024966,816.0997363763129,843.9726593860183
215,215,805.2407720110679,836.2262819110283,843.9726593860183
216,216,843.9726593860183,843.9726593860184,843.9726593860183
217,217,751.8527492216197,820.7192073733574,843.9726593860183
218,218,819.8253094871122,841.5579243961278,843.9726593860183
219,219,792.5447241295152,821.2565582470922,843.9726593860183
220,220,744.8744936549141,821.2033095753035,854.9636622715278
221,221,784.4161599408188,835.6244890826816,854.9636622715278
222,222,797.5228719008328,839.8794928734582,854.9636622715278
223,223,826.892483233392,850.8688342029969,868.0562024097638
224,224,854.0985155139394,861.336902989128,868.0562024097638
225,225,854.9636622715278,864.1284403682928,868.0562024097638
226,226,851.8744404949178,862.2089488949556,868.0562024097638
227,227,782.3989765195913,834.2452939868765,868.0562024097638
228,228,833.708523746856,864.621434543473,868.056202409764
229,229,767.1685510680313,832.4469146784464,868.0562024097638
230,230,758.5092657497084,827.2134458741282,868.056202409764
231,231,762.9473218761902,834.0672310978401,868.056202409764
232,232,688.9588021877325,804.4205101349728,868.056202409764
233,233,762.9473218761902,836.713599158294,868.056202409764
234,234,802.7555294245254,843.5879749413122,868.056202409764
235,235,838.5818457933954,845.8989071643751,868.056202409764
236,236,716.87954679731,816.3350620073888,846.2103296741207
237,237,749.0761395710263,815.4143912175676,846.2103296741207
238,238,807.735550547222,826.5229353791841,846.2103296741207
239,239,767.9400333267398,824.544112125934,846.2103296741207
240,240,762.0628799632614,813.2243599915253,846.2103296741207
241,241,795.6676716711572,834.6463285627808,846.2103296741207
242,242,796.6577511294113,828.306653501473,846.2103296741207
243,243,728.4442143515569,799.8245318826006,846.2103296741207
244,244,765.4709297498458,829.0860689572959,863.2525463363323
245,245,803.1520460910123,842.3761882703068,863.2525463363323
246,246,786.770736561367,823.9062632223864,846.2103296741208
247,247,836.0134729137355,846.2139055297378,851.3266373323988
248,248,764.6730426646342,802.8146829963986,846.2103296741208
249,249,737.3123006133795,790.6502257499383,812.5205572235518
250,250,718.8768511762407,783.6314132648411,812.5205572235518
251,251,678.0357946532907,759.8683932238275,812.5205572235518
252,252,700.1692295124918,743.4709887664717,800.1433389402746
253,253,696.3695608040435,749.42180924442,800.1433389402746
254,254,719.6260386402321,750.2005864227453,772.7309929546611
255,255,678.8555837678001,738.0349497322693,772.7309929546611
256,256,719.0861733236129,741.8919608152175,772.7309929546611
257,257,630.1270969889164,727.0054675153563,772.1286935382132
258,258,708.3544156410561,746.0509234994777,774.2227197318635
259,259,708.3544156410561,762.0735364289782,787.7098160266604
260,260,724.9067986194974,761.0883730348353,790.1839403326267
261,261,694.7150875213317,763.981792249866,790.1839403326267
262,262,732.7930401081527,775.1763930762568,803.3385788031483
263,263,734.7896368347647,776.6218018139695,832.905309360361
264,264,718.9544632278956,758.404799654972,832.905309360361
265,265,690.6603764907123,747.3314176564222,832.905309360361
266,266,625.3481812008578,701.1185532992034,749.6378647754011
267,267,731.7054671094342,743.1799714231772,749.6378647754011
268,268,702.9583603701691,727.2389685313694,749.6378647754009
269,269,708.9081635772284,740.3573872284453,784.2908887710255
270,270,686.4714459161204,738.3412492569936,784.2908887710255
271,271,709.3919944806798,739.7890806023546,763.7782899426952
272,272,551.0577083067342,692.7464612854835,790.0861819688389
273,273,714.8834854680929,759.6891316867293,795.3589657718105
274,274,735.6931339374852,760.0878545011309,795.3589657718105
275,275,703.4205558725847,755.6997398473056,796.2057508017103
276,276,687.9714800321648,770.6917765444732,805.5475498440658
277,277,676.6130159575446,753.6618307159185,802.2081940986741
278,278,791.088897669291,798.3822492273268,802.2107055903112
279,279,745.5462491013876,793.3090359341656,817.3730584302631
280,280,761.7263289094076,791.630300413792,817.3730584302631
281,281,744.6246157990802,796.2418293951926,817.9767527857836
282,282,682.4976975214772,787.5845152002411,826.0529996863224
283,283,703.2293838650924,786.1788500124135,840.3634023703179
284,284,703.2293838650924,786.570044763409,840.3634023703179
285,285,706.4971438972194,748.4395836015085,802.2081940986742
286,286,736.3350829607504,767.2474267874929,806.0936757218739
287,287,736.3350829607502,763.1974810482158,790.5190496221146
288,288,740.2205645839501,783.4555151885427,790.5190496221146
289,289,790.5190496221146,807.6082026955665,831.6330382353148
290,290,790.7779350809424,805.8558868981561,816.2187657286842
291,291,730.2441133491159,792.2843809653442,816.2187657286842
292,292,758.8321808633813,790.5418372338797,816.218765728684
293,293,786.0553220210921,796.7958909914573,816.218765728684
294,294,745.7392729825966,788.8214037629025,816.2187657286842
295,295,786.4989349168134,802.6236893094059,816.2187657286842
296,296,766.1984931344988,796.8854142783307,809.1511102696049
297,297,712.4863072387614,788.0095043157208,809.1511102696049
298,298,769.960945439798,797.0571721605003,821.1223704411985
299,299,809.1511102696048,814.8969842001077,821.1223704411985
300,300,656.6708976214715,774.0488354219904,821.1223704411985
301,301,758.2421724492513,806.6307637394232,821.1223704411985
302,302,693.4187678349701,774.7211865113088,821.1223704411985
