Generation,Max_Fitness,Ave_Fitness,Min_Fitness
0,0,517.8725923666801,631.7991116438342,737.2817989238617
1,0.0,410.1742514724741,737.2817989238617
1,1,517.8725923666801,635.5384965758637,737.2817989238617
1,517.8725923666801,635.5384965758637,737.2817989238617
