Generation,Max_Fitness,Ave_Fitness,Min_Fitness
0,0,491.540640759916,657.027083234425,790.9440122644849
1,1,491.540640759916,604.6091409193784,656.2263033148382
2,2,491.540640759916,571.5635296601711,609.7778858301331
3,3,491.540640759916,550.7972353397513,574.9771411721471
4,4,491.540640759916,532.7082914820767,557.1934097566398
5,5,491.540640759916,513.9508685195735,543.5826135614038
6,6,491.540640759916,502.27691809599605,521.3636333601421
7,7,491.540640759916,491.54064075991533,491.540640759916
8,8,491.540640759916,491.54064075991533,491.540640759916
9,9,491.540640759916,491.54064075991533,491.540640759916
10,10,491.540640759916,491.54064075991533,491.540640759916
11,11,491.540640759916,494.81468927546734,629.7329369090315
12,12,491.540640759916,491.54064075991533,491.540640759916
13,13,484.911001587439,491.4080479764658,491.540640759916
14,14,484.911001587439,491.2754551930162,491.540640759916
15,15,484.911001587439,491.0102696261172,491.540640759916
16,16,484.911001587439,490.479898492319,491.540640759916
17,17,484.911001587439,490.0431590583576,516.1111432691864
18,18,484.911001587439,489.48925787748027,557.4547824556267
19,19,484.911001587439,484.91100158743933,484.911001587439
20,20,476.64362676481824,484.7486058117842,485.05858762730594
21,21,476.64362676481824,484.5803065945345,484.911001587439
22,22,476.64362676481824,486.8518958351472,615.0252132633152
