Generation,Max_Fitness,Ave_Fitness,Min_Fitness
0,0,542.8154081364721,660.7010618988752,837.345288655818
1,1,507.6279429367629,613.0039170944844,655.7354455735082
2,2,507.6279429367629,592.7859132640841,736.8732562045369
3,3,507.6279429367629,569.0850140185419,630.938886491333
4,4,507.6279429367629,561.3455945043482,707.6137822973161
5,5,478.14563142234203,550.6042633810456,712.3372254609593
6,6,478.14563142234203,539.7110350626868,667.3978133254693
7,7,459.32307936785134,522.2488308518709,596.1758991452112
8,8,459.32307936785134,502.679574131421,563.7713333197631
9,9,459.32307936785134,502.91495282808296,620.1880772338952
10,10,459.32307936785134,491.50876921308577,641.1202708439279
11,11,459.32307936785134,479.51442135704804,590.8345110217027
12,12,459.32307936785134,471.55725507978707,586.6547599205111
13,13,459.32307936785134,463.12599061131334,522.0097910742719
14,14,459.32307936785134,468.4331537680929,605.2999271836659
15,15,459.32307936785134,471.80136900438924,629.7833852179983
16,16,459.32307936785134,465.3930759126773,577.9160364739181
