Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,2,9,5,7,15,11,13,14,4,1,3,12,10,8,555.6785652466135
1,1,11,7,12,14,3,10,6,13,9,5,15,8,2,4,518.0085586852225
2,12,7,8,4,9,15,5,10,14,3,6,11,1,13,2,504.2384937892815
3,7,9,8,15,5,10,14,3,6,11,1,13,2,4,12,496.66035838813144
5,14,7,5,13,1,8,2,3,12,6,4,11,15,9,10,471.8155811135559
8,6,12,7,8,4,11,1,13,2,9,15,5,10,14,3,438.8503846788184
10,8,3,6,4,11,1,13,9,15,2,10,14,12,7,5,419.8733887389455
12,5,3,6,4,11,1,13,9,15,2,8,10,14,12,7,376.8670406847791
17,7,3,6,4,11,1,13,5,9,15,2,8,10,14,12,368.0416752067614
19,12,3,6,4,11,1,13,5,7,9,15,2,8,10,14,354.1098492334452
38,12,3,7,6,4,11,1,13,9,5,15,2,8,10,14,353.7956857480594
41,6,4,11,1,13,5,10,14,12,3,7,9,15,2,8,353.06961117405245
42,3,7,5,9,15,2,8,6,4,11,1,13,10,14,12,323.21971021592503
53,14,12,3,7,5,9,15,8,6,4,11,1,13,2,10,316.96390423538804
64,9,15,8,6,4,11,1,13,2,10,14,12,3,7,5,316.96390423538793
78,9,8,6,4,11,1,13,2,10,14,12,3,7,5,15,315.03410683784193
110,5,15,9,8,6,4,11,1,13,2,10,14,12,3,7,315.0341068378419
