Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,8,4,10,14,6,7,3,12,9,1,13,15,5,11,538.7729340146138
5,11,8,10,4,14,6,7,3,12,9,1,13,15,5,2,516.7319698776016
6,11,8,4,10,14,6,7,3,12,9,1,13,15,5,2,512.547906086106
9,11,4,12,3,5,10,8,6,14,2,1,13,7,15,9,508.3951218624708
11,10,8,4,11,14,6,7,3,12,9,1,13,15,5,2,495.5712595478232
15,11,4,12,3,5,10,8,6,14,2,1,13,15,7,9,492.51170381758743
16,9,8,4,11,14,6,7,3,12,10,1,13,15,5,2,484.26701507741564
19,9,8,4,6,11,14,7,3,12,2,1,13,15,5,10,480.88377030658967
21,9,8,4,11,6,14,7,3,12,10,1,13,15,5,2,442.05912573722367
25,9,8,4,11,6,14,7,3,12,10,1,13,15,2,5,437.0310546515859
30,2,8,4,11,6,14,7,3,12,10,1,13,15,5,9,410.7705700029829
58,2,8,4,11,6,14,12,3,7,10,1,13,15,5,9,385.4834742560148
71,2,8,11,4,6,14,12,3,7,10,1,13,15,5,9,373.61985267562267
114,2,1,11,4,6,14,12,3,7,10,8,13,15,5,9,341.07330528668143
147,13,1,11,4,6,14,12,3,7,10,8,2,15,5,9,329.03012695040115
