Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,6,11,13,9,2,15,1,3,7,14,5,8,12,10,569.5731954772625
1,3,10,2,5,9,12,7,6,14,15,13,8,1,11,4,568.4555615808655
6,3,10,2,13,9,12,7,6,14,15,5,8,1,11,4,565.3253256245534
7,3,10,7,5,9,12,2,6,14,15,13,8,1,11,4,545.6241631722809
10,14,10,2,5,3,12,7,6,9,15,13,8,1,11,4,514.2080820979171
16,14,10,2,12,3,5,7,6,9,15,13,8,1,11,4,509.29381633916404
18,14,7,2,5,3,12,10,6,9,15,13,8,1,11,4,502.8114645236562
19,14,10,9,12,3,5,7,6,2,15,13,8,1,11,4,500.64873901925324
23,14,7,15,5,3,12,10,6,9,2,13,8,1,11,4,472.98809593417917
