Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,4,11,13,1,3,14,8,7,9,5,2,15,10,6,531.4373399644463
4,11,4,12,14,6,10,3,15,13,1,2,9,7,8,5,517.0316058880968
5,10,2,9,7,8,5,3,15,13,1,11,4,12,14,6,482.3949644295465
6,6,2,9,7,8,5,3,15,13,1,11,4,10,12,14,476.0331181925423
7,14,2,9,7,8,5,3,15,13,1,11,4,6,10,12,459.10220248190944
12,11,4,6,10,12,14,3,15,9,7,8,5,13,1,2,443.48156124779916
15,4,6,10,12,14,3,15,9,7,2,8,5,13,1,11,426.5586655544869
17,8,12,14,6,10,9,7,3,5,15,13,1,2,11,4,411.04648193476766
18,15,9,7,8,11,4,6,10,12,14,3,5,13,1,2,402.2870956146231
28,5,15,13,1,2,9,7,8,11,4,6,10,12,14,3,394.46764440065004
30,2,8,11,4,6,10,12,14,3,15,9,7,5,13,1,390.886314662964
32,1,8,11,4,6,10,12,14,3,15,9,7,5,2,13,388.0445531944439
33,4,6,10,12,14,3,7,5,15,13,1,2,9,8,11,361.97166257853945
52,10,12,14,3,7,5,2,15,9,8,13,1,11,4,6,361.817850555666
59,9,8,13,1,11,4,6,10,12,14,3,7,5,2,15,361.8178505556659
64,11,4,6,10,14,12,3,7,5,2,15,9,8,13,1,353.69321056460177
71,7,5,2,15,9,8,13,1,11,4,6,10,14,12,3,353.6932105646017
78,7,5,2,15,9,13,1,11,4,6,8,10,14,12,3,324.6437750049714
89,13,1,11,4,6,8,2,10,14,12,3,7,5,15,9,324.0084632460946
90,6,8,10,14,12,3,7,5,9,2,15,13,1,11,4,309.2555994487598
93,6,8,10,14,12,3,7,5,15,9,13,2,1,11,4,301.72329436801925
99,4,6,8,10,14,12,3,7,5,15,9,13,2,1,11,301.7232943680192
117,5,9,15,13,2,1,11,4,6,8,10,14,12,3,7,292.9647579842847
172,3,7,5,9,15,2,13,1,11,4,6,8,10,14,12,284.380862862478
173,15,2,13,1,11,4,6,8,10,14,12,3,7,5,9,284.38086286247795
