Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,8,6,3,14,15,13,1,11,4,2,5,7,9,12,476.9370126189445
6,10,8,6,3,14,15,13,1,11,4,2,7,5,9,12,475.70776248284443
8,10,8,12,3,14,15,13,1,11,4,2,5,7,9,6,471.4679609882466
10,10,8,6,3,9,15,13,1,11,4,2,5,7,14,12,425.1745895422822
15,10,8,6,3,9,2,13,1,11,4,15,5,7,14,12,425.0591685635263
19,10,8,6,7,9,15,13,1,11,4,2,5,3,14,12,421.3352733587741
21,10,8,6,2,9,15,13,1,11,4,7,5,3,14,12,410.82497000625943
27,10,8,6,2,9,15,13,1,11,4,5,7,3,14,12,398.11269186888643
38,10,8,6,2,9,15,13,1,11,4,5,7,3,12,14,389.9880518778223
43,10,8,5,2,9,15,13,1,11,4,6,7,3,12,14,388.52828263936
48,10,8,9,2,5,15,13,1,11,4,6,7,3,12,14,381.3537761842033
49,10,8,5,9,2,15,13,1,11,4,6,7,3,12,14,376.87057238124527
52,10,8,2,9,5,15,13,1,11,4,6,7,3,12,14,350.06522044996257
5946,12,3,7,9,5,15,13,1,11,4,6,2,8,10,14,332.1073866754009
5955,12,3,7,9,5,15,13,1,11,4,6,8,2,10,14,327.6616654085065
5990,12,3,7,5,9,15,13,1,11,4,6,8,2,10,14,315.2499268623601
