Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,13,11,1,6,4,14,8,9,7,5,10,12,2,15,541.8581499651406
3,10,3,14,9,15,1,13,2,5,11,6,4,8,7,12,500.41616893408593
5,9,13,11,1,6,4,14,8,3,7,5,10,12,15,2,493.04943482580023
6,5,13,11,1,6,4,14,8,9,7,3,10,12,2,15,477.61877204171634
8,10,3,14,7,15,9,13,2,5,8,6,4,11,1,12,462.8992324179564
12,12,3,14,7,15,9,13,2,5,8,6,4,11,1,10,435.1959533787818
20,12,3,5,7,15,9,13,2,14,8,6,4,11,1,10,415.464550459533
25,12,3,7,5,15,2,13,9,14,8,6,4,11,1,10,392.28493607103684
31,12,3,7,5,15,9,13,2,14,8,6,4,11,1,10,383.0570643138336
33,12,3,7,5,15,2,13,9,8,14,6,4,11,1,10,379.3614989288433
39,12,3,7,5,15,2,13,9,8,10,6,4,11,1,14,372.3095957487604
47,12,3,7,5,9,2,13,15,8,10,6,4,11,1,14,370.5089278482096
52,12,3,7,5,15,13,2,9,8,10,6,4,11,1,14,368.5791304506635
59,12,3,7,5,15,13,2,9,10,8,6,4,11,1,14,357.3409433522809
84,12,3,7,5,15,9,2,13,10,8,6,4,11,1,14,356.95308887267197
