Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,4,9,15,3,13,1,5,7,14,12,8,6,10,2,535.7521032262451
6,11,4,9,15,5,13,1,3,7,14,12,8,6,10,2,502.3199606606094
12,11,4,9,15,5,13,1,3,7,14,12,8,2,10,6,494.1004643306189
25,11,4,9,15,5,13,1,3,7,12,14,8,2,10,6,483.30140206171603
31,11,4,9,15,5,13,1,7,3,12,14,8,2,10,6,456.75089871345335
41,11,4,1,15,5,13,9,7,3,12,14,8,2,10,6,432.5198747535944
54,11,4,1,15,9,13,5,7,3,12,14,8,2,10,6,420.10813620744807
58,11,4,1,15,2,13,5,7,3,12,14,8,9,10,6,419.4914176323692
59,11,4,1,15,13,9,5,7,3,12,14,8,2,10,6,407.2606139078373
67,4,11,1,15,13,9,5,7,3,12,14,8,2,10,6,372.2453041218004
74,4,11,1,15,13,9,5,7,3,12,14,10,2,8,6,356.66635859387776
85,4,11,1,13,15,9,5,7,3,12,14,10,2,8,6,315.2499268623601
