Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,14,6,4,11,7,5,3,12,8,1,15,9,13,2,453.0930711678308
7,2,5,7,6,4,11,14,3,12,10,8,1,15,9,13,443.7699416933714
8,10,6,4,11,1,15,9,7,5,3,8,13,2,12,14,411.7219326539044
17,7,3,14,12,8,1,11,6,4,10,13,2,15,5,9,393.68067475307623
18,8,6,1,11,4,14,12,3,7,15,5,9,2,13,10,385.02796634566147
19,14,12,3,7,15,5,9,2,13,10,8,6,1,11,4,385.0279663456613
22,15,9,2,10,8,1,13,11,6,4,14,12,3,7,5,373.9934855390043
23,8,6,1,11,4,14,12,3,7,9,5,15,2,13,10,372.91849905436476
24,8,1,11,4,6,10,14,12,3,7,15,5,9,2,13,353.85780636258676
30,13,1,11,8,4,6,10,14,12,3,7,15,5,9,2,348.64699731031607
31,13,1,11,4,6,14,10,12,3,7,15,5,9,8,2,342.57364328645593
39,9,15,8,2,13,1,11,4,6,14,10,12,3,7,5,325.01030593219656
59,6,8,10,14,12,3,7,5,15,9,2,13,1,11,4,289.4089339481157
1550,5,9,15,2,13,1,11,4,6,8,10,14,12,3,7,284.38086286247795
