Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,1,13,9,6,2,15,8,10,7,5,3,4,12,14,538.3686593069671
6,10,12,11,4,6,3,9,1,13,2,8,14,7,15,5,500.5743941688407
12,10,12,14,4,6,3,11,1,13,2,8,9,7,5,15,444.937069415515
19,9,12,14,4,6,3,11,1,13,2,8,10,7,5,15,433.6678109596403
23,9,3,14,4,6,12,11,1,13,2,8,10,7,5,15,416.8058742173153
35,9,3,14,4,6,8,11,1,13,2,12,10,7,5,15,408.2885836811343
41,9,3,14,12,6,4,11,1,13,2,8,10,7,5,15,339.5676804550378
47,9,3,12,14,6,4,11,1,13,2,8,10,7,5,15,320.9501423344593
59,7,3,12,14,6,4,11,1,13,2,8,10,9,5,15,320.851329065763
65,7,3,12,14,6,4,11,1,13,2,8,10,15,5,9,319.19453101676356
70,7,3,12,14,6,4,11,1,13,2,8,10,9,15,5,301.3581943139576
