Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,9,12,7,5,3,14,4,1,11,6,15,13,8,2,528.8654140550508
3,10,12,9,7,5,3,14,4,1,11,6,15,13,8,2,506.2425838176696
5,10,9,12,7,5,3,14,4,1,11,6,15,13,2,8,490.80660154259834
8,10,12,9,7,5,3,14,4,1,11,6,15,13,2,8,468.1837713052171
13,10,6,12,7,5,3,14,4,1,11,9,15,13,2,8,463.7410702643397
14,10,12,9,7,5,3,14,4,1,11,6,8,13,2,15,460.9962934903402
16,10,12,3,7,5,9,14,4,1,11,6,8,13,2,15,430.5659483256307
22,10,12,3,7,5,9,14,4,1,11,6,8,2,13,15,423.37619981306034
32,10,12,3,7,5,9,14,4,6,11,1,8,2,13,15,411.29846677393016
40,9,12,3,7,5,10,14,4,6,11,1,8,2,13,15,407.0562694836369
41,10,12,3,7,5,9,14,4,6,11,1,13,2,8,15,406.08049845217545
43,10,12,3,7,5,9,14,4,6,11,1,15,2,13,8,399.5628649497856
50,10,12,3,7,5,9,14,6,4,11,1,15,2,13,8,373.4488846562654
57,10,12,3,7,5,9,14,6,4,11,1,13,2,15,8,355.161883669584
58,10,12,3,7,5,9,14,6,4,11,1,13,15,2,8,353.4479062965561
67,14,12,3,7,5,9,10,6,4,11,1,13,15,2,8,339.18651022345654
98,14,12,3,7,5,9,8,6,4,11,1,13,15,2,10,334.88077233848617
111,14,12,3,7,5,9,8,6,4,11,1,13,2,15,10,328.8163428276753
138,14,12,3,7,5,9,15,6,4,11,1,13,2,8,10,323.5627236789966
160,14,12,3,7,5,15,9,6,4,11,1,13,2,8,10,321.58491380220966
