Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,1,11,13,15,9,2,4,3,12,8,10,14,7,5,525.676135060943
1,14,12,6,10,13,8,5,15,9,7,3,2,11,1,4,494.7442564961594
3,15,9,2,4,14,10,7,5,3,12,8,6,1,11,13,464.6943135786612
4,14,10,7,5,3,12,8,6,1,11,13,15,9,2,4,464.6943135786611
6,1,11,13,15,9,2,4,6,14,10,7,5,3,12,8,431.9365041002184
7,12,6,10,1,13,2,11,4,8,5,15,9,7,3,14,419.20347346792283
14,8,11,1,13,15,9,2,4,6,14,10,7,5,3,12,407.32159650791385
17,15,9,7,3,12,6,14,10,2,1,11,4,8,13,5,404.53578540214943
18,14,6,10,1,13,2,11,4,8,5,15,9,7,3,12,400.5859353473444
19,4,6,8,5,15,9,7,3,14,12,10,1,13,2,11,379.0319416496458
50,4,6,8,5,15,9,7,3,12,14,10,1,13,2,11,370.90730165858156
74,15,9,7,3,12,14,10,11,4,6,8,1,13,2,5,358.1456546367578
80,4,6,8,1,13,2,5,15,9,7,3,12,14,10,11,358.14565463675774
90,5,9,7,3,12,14,10,11,4,6,8,1,13,2,15,346.487944378643
101,4,6,8,1,13,2,15,5,9,7,3,12,14,10,11,346.48794437864296
105,3,12,14,10,11,4,6,8,1,13,2,15,9,5,7,334.0762058324965
113,14,10,8,11,4,6,1,13,2,15,9,5,7,3,12,321.62585883500753
118,7,3,12,14,10,8,11,4,6,1,13,2,15,9,5,321.6258588350074
138,7,3,12,14,10,8,6,4,11,1,13,2,15,9,5,284.38086286247795
