Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,10,14,6,8,9,15,13,2,5,11,1,7,3,12,510.89829907382915
1,5,3,7,4,11,8,10,6,1,13,9,14,12,2,15,502.43363623056956
7,8,5,10,6,11,1,4,2,13,9,15,7,14,12,3,482.8426716670008
11,5,3,6,4,11,8,10,7,9,13,1,14,12,2,15,468.41026847263157
16,7,3,6,4,11,8,10,5,9,13,1,14,12,2,15,467.7133681650932
19,7,3,6,4,11,8,2,5,9,13,1,14,12,10,15,458.1949139966284
29,7,10,6,4,11,8,2,5,9,13,1,14,12,3,15,455.8266402542208
32,7,3,6,4,11,8,2,5,15,13,1,14,12,10,9,436.93038325057523
41,7,3,6,4,11,8,2,9,15,13,1,14,12,10,5,422.0917911647132
49,7,3,6,4,11,1,2,9,15,13,8,14,12,10,5,388.5157247144768
57,7,3,6,4,11,1,2,13,15,9,8,14,12,10,5,376.08208509175057
68,7,3,6,4,11,1,13,2,15,9,8,14,12,10,5,367.4981899699439
92,7,10,6,4,11,1,13,2,15,9,8,14,12,3,5,350.95177234489734
101,5,10,6,4,11,1,13,2,15,9,8,14,12,3,7,343.1734758316999
142,5,8,6,4,11,1,13,2,15,9,10,14,12,3,7,330.56625112617246
