Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,12,8,3,5,1,11,4,6,14,13,2,15,7,10,512.6001766898687
5,3,12,7,9,5,10,14,8,13,1,4,11,6,2,15,467.92717984096123
22,3,12,7,9,5,10,14,8,13,6,4,11,1,2,15,446.95636837650966
30,3,12,7,5,9,10,14,8,13,6,4,11,1,2,15,430.34184419760174
31,3,12,7,9,5,10,14,8,2,6,4,11,1,13,15,425.722121542354
43,3,12,7,9,5,10,2,8,14,6,4,11,1,13,15,418.87369539452743
46,12,3,7,9,5,10,14,8,2,6,4,11,1,13,15,415.7271023523053
49,3,12,10,9,5,7,2,8,14,6,4,11,1,13,15,398.42243893342675
52,3,12,14,9,5,7,2,8,10,6,4,11,1,13,15,396.52099052377014
59,3,12,14,7,5,9,2,8,10,6,4,11,1,13,15,370.8196429583254
63,3,12,14,7,5,15,2,8,10,6,4,11,1,13,9,366.76101772442803
72,3,12,14,7,5,15,9,8,10,6,4,11,1,13,2,361.82543208924073
82,3,12,14,7,5,15,9,10,8,6,4,11,1,13,2,350.587244990858
99,14,12,3,7,5,15,9,10,8,6,4,11,1,13,2,324.6846051750739
