Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14,4,11,8,5,10,6,2,13,1,12,3,7,9,15,515.10274062912
6,14,4,11,6,5,10,8,2,13,1,12,3,7,9,15,496.56117953029025
15,14,4,11,6,15,10,8,2,13,1,12,3,7,9,5,488.9226160651091
21,14,4,11,6,15,10,8,1,13,2,12,3,7,9,5,484.87152426012005
22,14,4,11,6,15,5,8,2,13,1,12,3,7,9,10,478.29602547471166
23,14,4,11,6,15,2,8,1,13,10,12,3,7,9,5,476.50776017401813
27,14,4,11,6,15,5,8,2,13,1,10,3,7,9,12,471.68536904810935
32,14,4,11,6,8,5,15,2,13,1,12,3,7,9,10,439.1141646581932
36,14,4,11,6,8,5,15,2,13,1,10,3,7,9,12,432.50350823159084
56,14,4,11,6,8,9,15,2,13,1,10,3,7,5,12,412.4836435558234
62,14,6,11,4,8,9,15,2,13,1,10,3,7,5,12,405.8968748833955
67,14,6,11,4,8,9,15,2,13,1,10,5,7,3,12,385.37563802655546
81,14,6,11,4,8,10,15,2,13,1,9,5,7,3,12,364.7761746362685
87,14,6,4,11,8,10,15,2,13,1,9,5,7,3,12,352.91255305587634
101,14,6,4,11,8,10,9,2,13,1,15,5,7,3,12,344.4334653334925
123,14,6,4,11,8,10,9,2,1,13,15,5,7,3,12,340.2061306081603
