Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,13,4,14,6,8,15,2,7,3,10,12,5,9,1,11,517.5978818083612
1,13,4,14,6,8,2,15,7,3,10,12,5,9,1,11,492.6901750183333
4,5,7,2,3,8,11,4,10,12,14,6,13,1,15,9,472.76349893783316
9,2,3,8,1,15,9,5,7,12,14,6,11,4,10,13,461.3428982678283
10,6,4,3,7,5,9,15,2,13,10,12,8,14,11,1,454.2665014834242
11,5,9,15,2,11,1,8,13,10,12,14,6,4,3,7,423.53612347221355
20,13,8,10,12,14,11,1,6,4,3,7,5,9,15,2,407.6181909541519
26,15,2,10,12,14,11,1,13,8,6,4,3,7,5,9,406.6315635676186
27,7,5,9,15,2,11,1,13,8,10,12,14,6,4,3,377.76533042398387
40,10,12,14,3,7,5,9,15,2,1,11,6,4,13,8,360.8373490367305
43,1,11,6,4,13,8,10,12,14,3,7,5,9,15,2,360.83734903673025
53,4,8,10,12,14,3,7,5,9,15,2,13,1,11,6,312.0327144746345
540,11,4,6,8,10,14,12,3,7,5,9,15,13,2,1,292.96475798428474
4495,7,5,9,15,2,13,1,11,4,6,8,10,14,12,3,284.38086286247795
