Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,14,3,7,5,15,10,12,8,9,2,6,13,4,1,523.6953791290294
4,5,13,1,7,2,9,15,10,14,12,6,8,11,4,3,517.4802082113009
5,5,13,1,7,9,2,15,10,14,12,6,8,11,4,3,507.0517480892862
6,5,13,15,7,9,2,1,10,14,12,6,8,11,4,3,494.0146369270907
7,11,14,3,7,5,15,10,12,8,9,2,6,4,13,1,463.9103119285615
15,13,14,3,7,5,15,10,12,8,9,2,6,4,11,1,436.2529292970237
27,13,14,3,7,5,15,10,12,2,9,8,6,4,11,1,434.39998194256214
28,13,8,3,7,5,15,10,12,14,9,2,6,4,11,1,415.65166103980766
30,13,8,10,7,5,15,3,12,14,9,2,6,4,11,1,408.82612034975773
35,13,2,3,7,5,15,10,12,14,9,8,6,4,11,1,394.22094067491156
41,13,2,10,7,5,15,3,12,14,9,8,6,4,11,1,391.94675946013706
44,13,2,9,7,5,15,10,12,14,3,8,6,4,11,1,352.84289599193727
47,13,2,9,7,5,15,3,12,14,10,8,6,4,11,1,330.1349802946931
67,13,2,9,15,5,7,3,12,14,10,8,6,4,11,1,289.40893394811565
112,13,2,15,9,5,7,3,12,14,10,8,6,4,11,1,284.380862862478
