Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7,6,4,8,10,2,1,14,12,3,13,11,5,15,9,527.3802683431798
1,8,3,14,12,6,10,11,15,1,2,13,9,5,7,4,523.2174259797255
4,8,2,13,1,6,11,5,7,4,14,12,3,10,9,15,495.9402645038496
5,15,6,10,14,3,7,9,5,13,2,1,11,4,12,8,463.92962439126615
8,8,6,10,14,3,7,15,9,5,13,2,1,11,4,12,410.2685169067346
10,9,5,7,15,2,13,1,11,8,10,4,6,12,3,14,404.4630564009346
18,1,11,4,6,9,5,7,3,14,8,12,10,15,2,13,389.36006547138487
21,9,5,7,15,1,11,4,6,10,12,3,14,8,2,13,379.7764878734199
26,7,15,1,11,4,6,10,12,3,14,8,2,13,9,5,379.77648787341985
32,11,4,6,12,3,14,10,8,13,2,5,7,9,15,1,375.295261775371
33,12,3,2,13,9,5,7,15,1,11,4,6,8,10,14,369.8544173873032
36,12,14,8,2,13,15,5,7,9,1,11,4,6,10,3,359.82945639283076
39,13,15,5,7,9,1,11,4,6,10,3,12,14,8,2,359.82945639283065
44,6,10,15,5,7,9,3,12,14,8,2,13,1,11,4,357.7013986940552
47,15,5,7,9,2,13,1,11,4,6,8,3,12,14,10,344.7182560008731
61,1,11,4,6,10,9,15,5,7,3,12,14,8,2,13,319.33984472281236
77,4,6,10,9,15,5,7,3,12,14,8,2,13,1,11,319.3398447228123
82,15,5,7,3,12,14,10,2,13,1,11,4,6,8,9,315.03410683784193
92,4,6,8,9,15,5,7,3,12,14,10,2,13,1,11,315.0341068378419
