Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,14,6,4,11,7,5,3,12,8,1,15,9,13,2,453.0930711678308
5,9,2,13,15,7,5,3,1,11,4,6,8,14,12,10,415.9243878805681
6,14,12,10,15,7,5,3,9,2,13,1,11,4,6,8,382.42687149292396
19,3,9,13,1,11,4,6,14,12,10,8,2,15,7,5,374.2050953484074
20,15,5,9,13,1,11,4,6,8,2,7,3,14,12,10,368.7555378951533
22,5,15,9,13,1,11,4,6,8,2,7,3,14,12,10,367.5337253712552
25,1,11,4,6,8,14,12,10,2,7,3,5,9,15,13,366.285076566016
27,12,10,9,13,1,11,4,6,8,2,15,5,7,3,14,340.4907410703326
35,8,2,15,5,7,3,12,14,10,9,13,1,11,4,6,332.3661010792684
44,7,3,12,14,10,9,2,13,1,11,4,6,8,15,5,330.34961315419946
47,1,11,4,6,8,2,9,15,5,7,3,12,14,10,13,328.2477813015627
55,4,6,8,2,9,15,5,7,3,12,14,10,13,1,11,328.24778130156267
61,11,4,6,8,9,15,5,7,3,12,14,10,2,13,1,315.03410683784193
4626,6,8,9,15,5,7,3,12,14,10,2,13,1,11,4,315.0341068378419
