Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,4,11,13,1,3,14,8,7,9,5,2,15,10,6,531.4373399644463
2,2,1,13,15,5,9,10,7,8,14,12,6,11,3,4,522.6862570739854
3,4,1,2,13,15,5,9,10,7,8,14,12,6,11,3,510.50625200266836
6,1,2,13,15,5,3,9,10,7,8,14,12,6,11,4,449.41797009792
11,4,6,1,2,13,15,5,9,10,7,8,14,12,3,11,434.8841438067117
14,14,12,3,11,4,6,1,2,13,15,5,9,10,7,8,434.8841438067116
16,15,5,9,10,7,8,14,12,3,11,4,6,1,2,13,434.88414380671156
18,2,13,15,5,3,9,10,7,8,14,12,6,4,11,1,414.4026603118831
24,5,9,10,7,3,14,12,6,11,8,4,1,2,13,15,410.77925508258295
28,5,9,10,7,3,14,12,6,11,4,1,2,13,8,15,410.7720958130988
31,13,15,5,9,7,10,8,3,14,12,6,4,11,1,2,358.1310458720938
42,12,6,4,11,1,2,13,9,5,15,7,3,10,8,14,351.3046754671462
66,2,8,10,3,7,5,9,15,14,12,6,4,11,1,13,345.97749521927557
84,14,12,10,3,7,5,9,15,6,4,11,1,13,2,8,345.560776777736
89,7,5,9,15,6,4,11,1,13,2,8,14,12,10,3,345.56077677773595
90,9,15,6,4,11,1,13,2,8,14,12,10,3,7,5,345.5607767777359
94,7,5,9,15,6,4,11,1,13,2,8,10,14,12,3,323.5627236789965
128,12,3,7,5,9,15,8,6,4,11,1,13,2,10,14,316.96390423538804
148,8,6,4,11,1,13,2,10,14,12,3,7,5,9,15,316.963904235388
164,15,8,6,4,11,1,13,2,10,14,12,3,7,5,9,316.96390423538793
196,15,9,8,6,4,11,1,13,2,10,14,12,3,7,5,315.03410683784193
211,5,15,9,8,6,4,11,1,13,2,10,14,12,3,7,315.0341068378419
