Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7,12,8,10,3,2,13,4,11,9,14,6,1,15,5,534.509877319015
4,11,6,4,3,12,14,9,8,15,5,7,10,1,13,2,471.32227438370103
5,11,6,4,3,12,14,9,10,15,5,7,8,1,13,2,466.5171518873283
9,11,6,4,14,12,3,9,10,15,5,7,8,1,13,2,430.75983680007937
11,11,6,4,3,12,14,10,9,15,5,7,8,1,13,2,411.5609396608696
14,11,4,6,3,12,14,10,9,15,5,7,8,1,13,2,386.3417696545491
17,11,6,4,3,12,14,10,9,15,5,7,8,2,13,1,380.40386658397233
22,11,6,4,14,12,3,10,9,15,5,7,8,2,13,1,360.99036542281254
29,11,4,6,14,12,3,10,9,15,5,7,8,2,13,1,334.8763851292924
43,11,4,6,14,12,3,10,8,15,5,7,9,2,13,1,327.6960639441405
69,11,4,6,14,12,3,10,8,7,5,15,9,2,13,1,320.5244198825183
100,11,4,6,14,12,8,10,3,7,5,15,9,2,13,1,313.1955191314756
155,11,4,6,14,12,8,10,3,7,5,9,15,2,13,1,308.16744804583794
