Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,14,12,11,1,10,8,5,7,2,13,9,15,6,4,514.9199803940403
5,14,3,12,11,1,10,8,5,7,2,13,9,15,6,4,499.5714987843739
9,3,14,12,11,1,10,15,5,7,2,13,9,8,6,4,493.36824761143635
11,14,3,12,11,1,10,8,5,7,2,13,15,9,6,4,488.83515252385246
13,3,14,12,11,1,10,7,5,15,2,13,9,8,6,4,464.1701815386806
16,10,14,12,11,1,3,7,5,15,2,13,9,8,6,4,449.1718576424876
21,10,14,12,11,1,3,7,5,15,13,2,9,8,6,4,445.4413923443908
29,10,14,1,11,12,3,7,5,15,13,2,9,8,6,4,445.32850661203577
30,12,14,10,11,1,3,7,5,15,13,2,9,8,6,4,439.96393484402205
41,12,14,10,11,1,3,7,5,15,9,2,13,8,6,4,427.5228378804664
45,12,14,1,11,10,3,7,5,15,9,2,13,8,6,4,423.3449325966179
48,12,14,4,11,1,3,7,5,15,9,2,13,8,6,10,403.00044870296387
54,12,10,4,11,1,3,7,5,15,9,2,13,8,6,14,400.10892622112635
57,12,14,4,11,1,3,7,5,15,9,13,2,8,6,10,399.5411654884903
64,12,14,4,11,1,3,7,5,9,15,13,2,8,6,10,390.7826291047558
77,12,6,4,11,1,3,7,5,15,9,13,2,8,10,14,371.3659563758818
86,14,6,4,11,1,3,7,5,15,9,13,2,8,10,12,360.8730582463675
108,14,6,4,11,1,3,7,5,9,15,13,2,8,10,12,352.114521862633
