Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11,4,10,9,3,12,14,6,13,15,1,8,7,5,2,500.7088008502261
7,8,5,9,7,3,10,2,12,14,4,11,6,13,15,1,496.07369928287494
8,11,9,2,13,15,5,7,10,6,8,12,3,14,4,1,448.65060381132236
13,6,14,9,15,8,1,11,4,13,2,5,7,3,12,10,438.8638691198951
14,7,3,12,14,4,11,6,10,2,13,15,1,8,5,9,426.4812262950254
15,12,10,9,15,8,1,11,4,6,14,13,2,5,7,3,411.5414442282343
18,2,5,7,3,8,1,11,4,6,14,12,10,9,15,13,368.5764968533855
24,8,1,11,4,6,14,12,10,9,15,13,2,5,7,3,368.57649685338544
25,7,3,8,1,11,4,6,14,12,10,2,13,9,15,5,357.31968514583144
38,9,15,5,7,3,8,13,1,11,4,6,14,12,10,2,353.8470226655224
48,2,13,1,11,4,6,14,12,9,15,5,7,3,8,10,348.91373053766256
75,7,3,8,10,2,13,1,11,4,6,14,12,9,15,5,348.91373053766245
89,9,5,7,3,8,1,11,4,6,14,12,10,2,13,15,348.56114876209693
95,4,6,2,13,9,15,5,7,3,14,12,10,8,1,11,343.51077019883587
106,12,10,8,1,11,4,6,2,13,9,15,5,7,3,14,343.5107701988358
138,10,8,1,11,4,6,2,13,9,15,5,7,3,12,14,335.38613020777166
175,9,5,7,3,12,14,10,8,1,11,4,6,2,13,15,326.62759382403715
195,15,5,7,3,12,14,10,8,2,13,1,11,4,6,9,321.5849138022096
207,2,13,1,11,4,6,8,15,9,5,7,3,12,14,10,316.9639042353881
217,13,1,11,4,6,8,15,9,5,7,3,12,14,10,2,316.96390423538804
218,5,7,3,12,14,10,2,13,1,11,4,6,8,15,9,316.963904235388
224,10,2,13,1,11,4,6,8,9,15,5,7,3,12,14,315.034106837842
236,12,14,10,2,13,1,11,4,6,8,9,15,5,7,3,315.03410683784193
240,4,6,8,9,15,5,7,3,12,14,10,2,13,1,11,315.0341068378419
